id,title,realtime_start,realtime_end,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity
CES1011330001,"All Employees, Logging",2/4/2024,2/4/2024,1/1/1947,1/1/2024,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2024-02-02 07:51:11-06:00,7
CES1021000001,"All Employees, Mining, Quarrying, and Oil and Gas Extraction",2/4/2024,2/4/2024,1/1/1958,1/1/2024,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2024-02-02 07:51:09-06:00,12
CES2000000008,"Average Hourly Earnings of Production and Nonsupervisory Employees, Construction",2/4/2024,2/4/2024,1/1/1947,1/1/2024,Monthly,M,Dollars per Hour,$ per Hour,Seasonally Adjusted,SA,2024-02-02 07:51:07-06:00,21
CES2000000034,"Indexes of Aggregate Weekly Hours of Production and Nonsupervisory Employees, Construction",2/4/2024,2/4/2024,1/1/1947,1/1/2024,Monthly,M,Index 2002=100,Index 2002=100,Seasonally Adjusted,SA,2024-02-02 07:51:44-06:00,4
CES3000000006,"Production and Nonsupervisory Employees, Manufacturing",2/4/2024,2/4/2024,1/1/1939,1/1/2024,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2024-02-02 07:51:13-06:00,4
CES3000000008,"Average Hourly Earnings of Production and Nonsupervisory Employees, Manufacturing",2/4/2024,2/4/2024,1/1/1939,1/1/2024,Monthly,M,Dollars per Hour,$ per Hour,Seasonally Adjusted,SA,2024-02-02 07:51:05-06:00,45
CES3000000030,"Average Weekly Earnings of Production and Nonsupervisory Employees, Manufacturing",2/4/2024,2/4/2024,1/1/1939,1/1/2024,Monthly,M,Dollars per Week,$ per Week,Seasonally Adjusted,SA,2024-02-02 07:51:09-06:00,8
CES3000000035,"Indexes of Aggregate Weekly Payrolls of Production and Nonsupervisory Employees, Manufacturing",2/4/2024,2/4/2024,1/1/1939,1/1/2024,Monthly,M,Index 2002=100,Index 2002=100,Seasonally Adjusted,SA,2024-02-02 07:51:12-06:00,4
CES3100000008,"Average Hourly Earnings of Production and Nonsupervisory Employees, Durable Goods",2/4/2024,2/4/2024,1/1/1939,1/1/2024,Monthly,M,Dollars per Hour,$ per Hour,Seasonally Adjusted,SA,2024-02-02 07:51:10-06:00,8
CES3100000009,"Average Weekly Overtime Hours of Production and Nonsupervisory Employees, Durable Goods",2/4/2024,2/4/2024,1/1/1956,1/1/2024,Monthly,M,Hours,Hours,Seasonally Adjusted,SA,2024-02-02 07:51:12-06:00,3
CES3132700001,"All Employees, Nonmetallic Mineral Product Manufacturing",2/4/2024,2/4/2024,1/1/1951,1/1/2024,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2024-02-02 07:51:43-06:00,6
CES3133660001,"All Employees, Ship and Boat Building",2/4/2024,2/4/2024,1/1/1939,12/1/2023,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2024-02-02 07:51:10-06:00,8
CES3200000008,"Average Hourly Earnings of Production and Nonsupervisory Employees, Nondurable Goods",2/4/2024,2/4/2024,1/1/1939,1/1/2024,Monthly,M,Dollars per Hour,$ per Hour,Seasonally Adjusted,SA,2024-02-02 07:51:42-06:00,3
CES3200000009,"Average Weekly Overtime Hours of Production and Nonsupervisory Employees, Nondurable Goods",2/4/2024,2/4/2024,1/1/1956,1/1/2024,Monthly,M,Hours,Hours,Seasonally Adjusted,SA,2024-02-02 07:51:10-06:00,4
CES4348200001,"All Employees, Rail Transportation",2/4/2024,2/4/2024,1/1/1947,1/1/2024,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2024-02-02 07:50:12-06:00,13
CES9091000001,"All Employees, Federal",2/4/2024,2/4/2024,1/1/1939,1/1/2024,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2024-02-02 07:50:04-06:00,56
CES9091100001,"All Employees, Federal, Except U.S. Postal Service",2/4/2024,2/4/2024,1/1/1939,1/1/2024,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2024-02-02 07:50:15-06:00,7
CES9091912001,"All Employees, U.S. Postal Service",2/4/2024,2/4/2024,1/1/1939,1/1/2024,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2024-02-02 07:50:14-06:00,9
CES9092000001,"All Employees, State Government",2/4/2024,2/4/2024,1/1/1955,1/1/2024,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2024-02-02 07:50:08-06:00,31
CES9092161101,"All Employees, State Government Education",2/4/2024,2/4/2024,1/1/1955,1/1/2024,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2024-02-02 07:50:16-06:00,11
CES9092200001,"All Employees, State Government, Excluding Education",2/4/2024,2/4/2024,1/1/1955,1/1/2024,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2024-02-02 07:50:20-06:00,6
CES9093000001,"All Employees, Local Government",2/4/2024,2/4/2024,1/1/1955,1/1/2024,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2024-02-02 07:50:08-06:00,30
CES9093161101,"All Employees, Local Government Education",2/4/2024,2/4/2024,1/1/1955,1/1/2024,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2024-02-02 07:50:10-06:00,17
CES9093200001,"All Employees, Local Government, Excluding Education",2/4/2024,2/4/2024,1/1/1955,1/1/2024,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2024-02-02 07:50:17-06:00,6
CEU0500000001,"All Employees, Total Private",2/4/2024,2/4/2024,1/1/1939,1/1/2024,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2024-02-02 07:50:11-06:00,20
CEU1000000001,"All Employees, Mining and Logging",2/4/2024,2/4/2024,1/1/1939,1/1/2024,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2024-02-02 07:50:20-06:00,9
CEU1000000034,"Indexes of Aggregate Weekly Hours of Production and Nonsupervisory Employees, Mining and Logging",2/4/2024,2/4/2024,1/1/1947,1/1/2024,Monthly,M,Index 2002=100,Index 2002=100,Not Seasonally Adjusted,NSA,2024-02-02 07:51:31-06:00,4
CEU2000000001,"All Employees, Construction",2/4/2024,2/4/2024,1/1/1939,1/1/2024,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2024-02-02 07:50:09-06:00,17
CEU3000000001,"All Employees, Manufacturing",2/4/2024,2/4/2024,1/1/1939,1/1/2024,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2024-02-02 07:50:10-06:00,17
CEU3000000007,"Average Weekly Hours of Production and Nonsupervisory Employees, Manufacturing",2/4/2024,2/4/2024,1/1/1939,1/1/2024,Monthly,M,Hours,Hours,Not Seasonally Adjusted,NSA,2024-02-02 07:50:17-06:00,6
CEU3000000009,"Average Weekly Overtime Hours of Production and Nonsupervisory Employees, Manufacturing",2/4/2024,2/4/2024,1/1/1956,1/1/2024,Monthly,M,Hours,Hours,Not Seasonally Adjusted,NSA,2024-02-02 07:50:19-06:00,7
CEU3100000008,"Average Hourly Earnings of Production and Nonsupervisory Employees, Durable Goods",2/4/2024,2/4/2024,1/1/1939,1/1/2024,Monthly,M,Dollars per Hour,$ per Hour,Not Seasonally Adjusted,NSA,2024-02-02 07:50:07-06:00,27
CEU4200000001,"All Employees, Retail Trade",2/4/2024,2/4/2024,1/1/1939,1/1/2024,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2024-02-02 07:50:15-06:00,10
CEU5000000001,"All Employees, Information",2/4/2024,2/4/2024,1/1/1939,1/1/2024,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2024-02-02 07:50:28-06:00,8
CEU5500000001,"All Employees, Financial Activities",2/4/2024,2/4/2024,1/1/1939,1/1/2024,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2024-02-02 07:50:27-06:00,4
CEU6000000001,"All Employees, Professional and Business Services",2/4/2024,2/4/2024,1/1/1939,1/1/2024,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2024-02-02 07:50:19-06:00,9
CEU7000000001,"All Employees, Leisure and Hospitality",2/4/2024,2/4/2024,1/1/1939,1/1/2024,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2024-02-02 07:50:16-06:00,8
CEU9000000001,"All Employees, Government",2/4/2024,2/4/2024,1/1/1939,1/1/2024,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2024-02-02 07:50:17-06:00,8
CEU9091000001,"All Employees, Federal",2/4/2024,2/4/2024,1/1/1939,1/1/2024,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2024-02-02 07:50:26-06:00,5
CIVPART,Labor Force Participation Rate,2/4/2024,2/4/2024,1/1/1948,1/1/2024,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-02-02 07:49:02-06:00,85
COLCCUSMA02STM,Currency Conversions: US Dollar Exchange Rate: Average of Daily Rates: National Currency: USD for Colombia,2/4/2024,2/4/2024,1/1/1960,12/1/2023,Monthly,M,Colombian Peso,Colombian Peso,Not Seasonally Adjusted,NSA,2024-01-12 14:25:05-06:00,14
CONSUMER,"Consumer Loans, All Commercial Banks",2/4/2024,2/4/2024,1/1/1947,12/1/2023,Monthly,M,Billions of U.S. Dollars,Bil. of U.S. $,Seasonally Adjusted,SA,2024-02-02 15:33:03-06:00,52
CONSUMERNSA,"Consumer Loans, All Commercial Banks",2/4/2024,2/4/2024,1/1/1947,12/1/2023,Monthly,M,Billions of U.S. Dollars,Bil. of U.S. $,Not Seasonally Adjusted,NSA,2024-02-02 15:33:16-06:00,6
CPALCY01USM661N,Consumer Price Index: All Items: City: Total for United States,2/4/2024,2/4/2024,1/1/1960,12/1/2023,Monthly,M,Index 2015=100,Index 2015=100,Not Seasonally Adjusted,NSA,2024-01-12 14:13:15-06:00,8
CPALTT01USM657N,Consumer Price Index: All Items: Total for United States,2/4/2024,2/4/2024,1/1/1960,12/1/2023,Monthly,M,Growth rate previous period,Growth rate previous period,Not Seasonally Adjusted,NSA,2024-01-12 14:13:02-06:00,73
CPALTT01USM659N,Consumer Price Index: All Items: Total for United States,2/4/2024,2/4/2024,1/1/1960,12/1/2023,Monthly,M,Growth rate same period previous year,Growth rate same period previous Yr.,Not Seasonally Adjusted,NSA,2024-01-12 14:13:05-06:00,48
CPALTT01USM661S,Consumer Price Index: All Items: Total for United States,2/4/2024,2/4/2024,1/1/1960,12/1/2023,Monthly,M,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2024-01-12 14:13:05-06:00,37
CPALWE01USM661N,Consumer Price Index: All Items: Wage Earners: Total for United States,2/4/2024,2/4/2024,1/1/1960,12/1/2023,Monthly,M,Index 2015=100,Index 2015=100,Not Seasonally Adjusted,NSA,2024-01-12 14:13:13-06:00,11
CPGREN01USM657N,"Consumer Price Index: OECD Groups: Energy (Fuel, Electricity, and Gasoline): Total for United States",2/4/2024,2/4/2024,1/1/1960,12/1/2023,Monthly,M,Growth rate previous period,Growth rate previous period,Not Seasonally Adjusted,NSA,2024-01-12 14:13:09-06:00,13
CPGRLE01USM657N,Consumer Price Index: OECD Groups: All Items Non-Food Non-Energy: Total for United States,2/4/2024,2/4/2024,1/1/1960,12/1/2023,Monthly,M,Growth rate previous period,Growth rate previous period,Not Seasonally Adjusted,NSA,2024-01-12 14:13:08-06:00,16
CPGRLE01USM659N,Consumer Price Index: OECD Groups: All Items Non-Food Non-Energy: Total for United States,2/4/2024,2/4/2024,1/1/1960,12/1/2023,Monthly,M,Growth rate same period previous year,Growth rate same period previous Yr.,Not Seasonally Adjusted,NSA,2024-01-12 14:13:11-06:00,5
CPIAPPNS,Consumer Price Index for All Urban Consumers: Apparel in U.S. City Average,2/4/2024,2/4/2024,12/1/1914,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:39:13-06:00,9
CPIAPPSL,Consumer Price Index for All Urban Consumers: Apparel in U.S. City Average,2/4/2024,2/4/2024,1/1/1947,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:39:03-06:00,61
CPIAUCNS,Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,2/4/2024,2/4/2024,1/1/1913,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:40:02-06:00,72
CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,2/4/2024,2/4/2024,1/1/1947,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:40:01-06:00,94
CPIENGNS,Consumer Price Index for All Urban Consumers: Energy in U.S. City Average,2/4/2024,2/4/2024,1/1/1957,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2024-01-11 07:40:11-06:00,15
CPIENGSL,Consumer Price Index for All Urban Consumers: Energy in U.S. City Average,2/4/2024,2/4/2024,1/1/1957,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:40:04-06:00,63
CPILEGSL,Consumer Price Index for All Urban Consumers: All Items Less Energy in U.S. City Average,2/4/2024,2/4/2024,1/1/1957,12/1/2023,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Seasonally Adjusted,SA,2024-01-11 07:40:11-06:00,14
