id,title,freq,start,end,sa,category
HOUSTW,New Privately-Owned Housing Units Started: Total Units in the West Census Region,Monthly,1/1/1959,11/1/2023,Seasonally Adjusted Annual Rate,Housing
PERMIT,New Privately-Owned Housing Units Authorized in Permit-Issuing Places: Total Units,Monthly,1/1/1960,11/1/2023,Seasonally Adjusted Annual Rate,Housing
PERMITNE,New Privately-Owned Housing Units Authorized in Permit-Issuing Places: Total Units in the Northeast Census Region,Monthly,1/1/1960,11/1/2023,Seasonally Adjusted Annual Rate,Housing
PERMITMW,New Privately-Owned Housing Units Authorized in Permit-Issuing Places: Total Units in the Midwest Census Region,Monthly,1/1/1960,11/1/2023,Seasonally Adjusted Annual Rate,Housing
PERMITS,New Privately-Owned Housing Units Authorized in Permit-Issuing Places: Total Units in the South Census Region,Monthly,1/1/1960,11/1/2023,Seasonally Adjusted Annual Rate,Housing
PERMITW,New Privately-Owned Housing Units Authorized in Permit-Issuing Places: Total Units in the West Census Region,Monthly,1/1/1960,11/1/2023,Seasonally Adjusted Annual Rate,Housing
ACOGNO,Manufacturers' New Orders: Consumer Goods,Monthly,2/1/1992,10/1/2023,Seasonally Adjusted,Orders & Inventories
ANDENO,Manufacturers' New Orders: Nondefense Capital Goods,Monthly,2/1/1992,11/1/2023,Seasonally Adjusted,Orders & Inventories
AMDMUO,Manufacturers' Unfilled Orders: Durable Goods,"Monthly, End of Period",1/1/1992,11/1/2023,Seasonally Adjusted,Orders & Inventories
BUSINV,Total Business Inventories,"Monthly, End of Period",1/1/1992,10/1/2023,Seasonally Adjusted,Orders & Inventories
ISRATIO,Total Business: Inventories to Sales Ratio,"Monthly, End of Period",1/1/1992,10/1/2023,Seasonally Adjusted,Orders & Inventories
M1SL,M1,Monthly,1/1/1959,10/1/2023,Seasonally Adjusted,Money & Credit
M2SL,M2,Monthly,1/1/1959,10/1/2023,Seasonally Adjusted,Money & Credit
M2REAL,Real M2 Money Stock,Monthly,1/1/1959,10/1/2023,Seasonally Adjusted,Money & Credit
BOGMBASE,Monetary Base; Total,Monthly,1/1/1959,10/1/2023,Not Seasonally Adjusted,Money & Credit
TOTRESNS,Reserves of Depository Institutions: Total,Monthly,1/1/1959,10/1/2023,Not Seasonally Adjusted,Money & Credit
NONBORRES,"Reserves of Depository Institutions, Nonborrowed",Monthly,1/1/1959,10/1/2023,Not Seasonally Adjusted,Money & Credit
BUSLOANS,"Commercial and Industrial Loans, All Commercial Banks",Monthly,1/1/1947,11/1/2023,Seasonally Adjusted,Money & Credit
REALLN,"Real Estate Loans, All Commercial Banks",Monthly,1/1/1947,11/1/2023,Seasonally Adjusted,Money & Credit
NONREVSL,Nonrevolving Consumer Credit Owned and Securitized,Monthly,1/1/1943,10/1/2023,Seasonally Adjusted,Money & Credit
DTCOLNVHFNM,"Consumer Motor Vehicle Loans Owned by Finance Companies, Level",Monthly,1/1/1943,10/1/2023,Not Seasonally Adjusted,Money & Credit
DTCTHFNM,"Total Consumer Loans and Leases Owned and Securitized by Finance Companies, Level",Monthly,1/1/1943,10/1/2023,Not Seasonally Adjusted,Money & Credit
TOTALSL,Total Consumer Credit Owned and Securitized ,Monthly,1/1/1943,10/1/2023,Seasonally Adjusted,Money & Credit
REVOLSL,Revolving Consumer Credit Owned and Securitized ,Monthly,1/1/1968,10/1/2023,Seasonally Adjusted,Money & Credit
FEDFUNDS,Federal Funds Effective Rate,Monthly,7/1/1954,11/1/2023,Not Seasonally Adjusted,Interest Rate
